id;day_name;month;state;horary_id
1;bricks-and-clicks;blockchains Conjunto Jefe;ACTIVE;1
2;Reactivo Refinado;Inteligente Azul Ladrillo;INACTIVE;2
3;calculating Oficial Savings;supply-chains;ACTIVE;3
4;Toallas;transition reboot Samoa;INACTIVE;4
5;Granito Sopa AI;GB synthesizing;INACTIVE;5
6;quantifying embrace;Comodos;INACTIVE;6
7;Liberia copy;Guadalupe Grupo producto;ACTIVE;7
8;Hormigon Oficial Syrian;global Plástico withdrawal;INACTIVE;8
9;open-source;Librería;INACTIVE;9
10;Central Verde withdrawal;redundant Amarillo;INACTIVE;10
